TwitterName,TwitterTag,Timestamp,Tweet
'Simon Schama','simon_schama','2020-05-13','Trump campaign already trying out China Whiner strategy - in desperate attempt to shift blame from the lunatic "inject disinfectant" Presidency; the aversion to science and the lost lockdown months which led to lost lives.11674Show this thread'
'GunnyGunnerson','GunnsForShow','2020-05-12','May 12 2020Seems people are even less educated or less intelligent now days. Trump never actually told people to inject disinfectant. Also for the otherside using only the word "obamagate" isn't a legitimate argument or reply...fucking muppets the lot of youGIFread image descriptionALT12Show this thread'
'RufusKings','RufusKings1776','2020-05-12','True. A subpoena of records from Deutsche Bank does not burden or stop Donald Trump's daily functions of Twitter meltdowns yelling at people in the Rose Garden or recommending the public inject disinfectant.Quote TweetJen Taub@jentaub·May 12 2020Letter: Because these are subpoenas three private businesses this will not affect the White House functioning.  89/Show this thread915'
'SV Dáte','svdate','2020-05-12','Wonder if this man has watched any of the president’s evening performances over the past two months.   The inject disinfectant episode for example.Quote TweetMark R. Levin@marklevinshow·May 12 20202. He’s a man incapable of clear thinking.  He’s a bumbling rambling fool through whom the media and Democrats hope to defeat a president they’ve hated and tormented for years now.Show this thread2310'
'Milky Sissy ','MilkySissy','2020-05-12','So Obama says privately that Trump’s  #Coronavirus response was a “chaotic disaster.” It gets leaked.  Mitch McConnell: that was “classless” and “he should’ve kept his mouth shut.”  Trump says “Inject Disinfectant ( Lysol ) “   What McConnell says.. ??From Ryan Nobles312'
'Twilight Zone','DaTwilightZone','2020-05-12','Every @realDonaldTrump  press conference lately results either in a  #TrumpMeltdown or a full-blown psychotic episode (i.e. encouraging people to inject disinfectant.) And #Trump is too obtuse to recognize that his behavior in the briefings is hurting him. Classic narcissist.1'
'Pip  BLM FreeAssange EndSARS','pipsterish','2020-05-11','May 11 2020Trump: We have it under control  Johnson: Herd immunity  Trump: Inject disinfectant  Johnson: Virus in the water supply  Trump: ???GIFread image descriptionALT12'
'Milky Sissy ','MilkySissy','2020-05-12','So Obama says privately that Trump’s  #Coronavirus response was a “chaotic disaster.” It gets leaked.  Mitch McConnell: that was “classless” and “he should’ve kept his mouth shut.”  Trump says “Inject Disinfectant ( Lysol ) “   What McConnell says.. ??0:58From Ryan Nobles312'
'Roy WatsonDavis','RoyWatsonDavis','2020-05-11','I'm sorry but democratic societies get the leaders the people deserve. No-one installed Trump or Johnson by military force or minority revolution. They just hold up a mirror to the nation and its voters. So be alert folks and inject disinfectant.4'
'ᴿᵒˢᵉ ','xFierceRose','2020-05-10','.. I'm sure this is nearly as bad as trump saying to Inject disinfectant.. Some clowns running the world. No wonder its so fucked up 2'
'Milky Sissy ','MilkySissy','2020-05-12','So Obama says privately that Trump’s  #Coronavirus response was a “chaotic disaster.” It gets leaked.  Mitch McConnell: that was “classless” and “he should’ve kept his mouth shut.”  Trump says “Inject Disinfectant ( Lysol ) “   What McConnell says.. ??0:01 / 0:59From Ryan Nobles312'
'Mark Stoval','MarkStoval','2020-05-10','"The people who want to add a censorship regime to a health crisis are more dangerous and more stupid by leaps and bounds than a president who tells people to inject disinfectant."  -- Matt Taibbi34'
'Loz','lozthelez','2020-05-10','trump saying to inject disinfectant and borris letting people go out whenever they want to for however long to decrease covid deaths...- worlds ran by men with a brain cell at most.1'
'rj07thomas','rj07thomas','2020-05-10','Trump: let's inject disinfectant! Me: that's the stupidest thing I've ever heard. Matt Hancock: hold my beer. "Stay at home protect the NHS save lives. Unless you're on the Isle of Wight."  "Oops yeah where you have to do all of those things AND use the new app."12'
'Jenny Grove','jchamiergrove','2020-05-09','PRESIDENT TRUMP SUGGESTS A SOLUTION By Jenny Grove  ‘To inject disinfectant just could’ Donald Trump said ‘Do patients some good With these virus infections’ Then scorned all objections And claimed he’d been misunderstood.  For more limericks seefacebook.comJenny GroveJenny Grove. 432 likes. As a writer & journalist I've specialised in fraud & now focus on true stories about boys who defied1'
'Angel','MyHandsRatedE','2020-05-08','I'm sure if they inject disinfectant as the president suggested they'll be fine.Quote TweetCNN Breaking News@cnnbrk·May 8 2020Trump confirms Pence's press secretary Katie Miller tested positive for Covid-19. Her husband is senior Trump adviser Stephen Miller. https://cnn.it/3bhQ3qr16'
'Dr Harry Edwards','drharryedwards','2020-05-08','Like EMPTY SUITS he/Trump are & empty-headed dangerously vacuous policies he/Trump have delivered to ppl  ( drink bleach/ inject disinfectant & open for business c-virus infections/death be damned) Pence DELIVERS EMPTY BOXES  to vulnerable old folks   !!crooksandliars.comJimmy Kimmel Catches Mike Pence Delivering Empty Boxes Of Medical SuppliesJimmy talks about a maskless Mike Pence wheeling boxes of PPEs into a health care center in Virginia22'
'Willem Middelkoop','wmiddelkoop','2020-05-08','Journalist Matt Taibbi gets its: “The people who want to add a censorship regime to a health crisis are more dangerous and more stupid by leaps and bounds than a president who tells people to inject disinfectant.”  https://zerohedge.com/political/technofascism-digital-book-burning-totalitarian-age…11934'
'redders2','ErinErinredmond','2020-05-08','Trump’s best day was the inject disinfectant day! Dunning-Kruger effect. Trump’s so stupid he cannot even see how he comes across! I think he thought he was a genius for suggesting these novel treatments!!Quote TweetLacewing Photography @LacewingPhoto·May 8 2020Replying to @LBFizz and @ProlapsarianFortunately for the US our president does a proper job of hiding his ineptitude. He does doesn't he? Please tell me the rest of the world hasn't noticed........it would be so embarrassing.1'
'FrankHardy','hardylingam','2020-05-08','Journalist Matt Taibbi gets it:  “The people who want to add a censorship regime to a health crisis are more stupid and dangerous by leaps and bounds than a President who tells people to inject disinfectant" Don’t fall for the propaganda.  A Venn of totalitarian whackos & You11'
'Lxrd Gunnar','GunnarZett19','2020-05-07','DAILY REMINDER  Addiction is a choice not a disease   Covid-19 is significantly less deadly than the flu  20000+ people die from starvation every day   Trump didn’t tell you to inject disinfectant (try it if you think he did)  You should donate to St.Judes7'
'Aure Free Press','_Free_Press','2020-05-07','#BREAKING #COVID19 "It Will Disappear" "Inject Disinfectant"  "I Take Responsibility for Nothing" - Donald Trump  1231943 US CASES 73566 US DEATHS  Trump Buries CDC Guidelines To Reopen  No National Leadership No National Planning =1 National Nightmare!From CAP Action11'
'Angie who prays for this country','angenola','2020-05-07','Pushed by the man who thought it would be swell to inject disinfectant?   I wouldn't take a CONVID vaccine endorsed by Trump …..ever..Quote TweetRobyn@rsmale·May 7 2020Don’t get me wrong I can’t wait for a COVID vaccine..   BUT I would not be comfortable receiving a vaccine pushed through by the trump administration.   I trust I’m not alone...11'
'cJett','CelesteEtter','2020-05-07','Guys on a serious note..what kind of world do we live in right now?? I mean our president literally said to inject disinfectant to stop a HUGE virus breakout and we all kind of just said “ya that sound about right” and went about our daily lives?? Am I the only one concerned? 1'
'BAN ASSAULT WEAPONS','Makinwaves3','2020-05-06','How could anyone possibly not want to wear a mask in public in the middle of a Global Pandemic? That's almost as mind boggling as still supporting Trump after he wanted them to inject disinfectant into their bodies14'
'Roshi Kokura','RoshiRasoo','2020-05-06','“The people who want to add a censorship regime to a health crisis are more dangerous and more stupid by leaps and bounds than a president who tells people to inject disinfectant."　-  Matt Taibbi1'
'Borzou Daragahi ','borzou','2020-05-06','Trump loyalist is so dumb he thinks the fact that NYC is using ultraviolet lights to disinfect subways absolves his cult leader of call to inject disinfectant into human bodiesQuote TweetChuck Callesto@ChuckCallesto·May 6 2020BREAKING: NYC will use powerful ULTRA VIOLET LIGHTS to kill the coronavirus on subways and buses...  Well Well Well... Following CRITICISM and BLATANT ATTACKS drummed up by MEDIA outlets seems @realDonaldTrump was right again..Show this thread149'
'John Brennan','JohnBre02458261','2020-05-06','Trump says inject disinfectant !   Glad I didn't vote for the moron !!!'
'ً','nqmjoonvarc','2020-05-06','trump really said that they should inject disinfectant into ppls lungs so corona would stop 15'
'Dark Matter Zine','DarkMatterzine','2020-05-06','If Trump sent his besties to flip Venezuela Trump advised ppl to inject disinfectant Trump says China released the coronavirus...  If (I repeat *IF*) the rona is man-made I’ll lay money that a. It was made in a US lab b. Trump authorised/instructed its release c. It backfired.Quote TweetCamila@PrensaCamila·May 5 2020CAPTURED: U.S. mercenaries Luke Alexander Denman and Aaron Barry are in custody of the Venezuelan government. The two Silvercorp terrorists claim work security for President Trump.Show this thread12'
'₵Ɽ₳₵ ₭₳J₳₭','Crac_Kajak','2020-05-06','One former President WON'T be remembered for wearing a tan suit.  One former president WILL be remembered for suggesting we inject disinfectant.2'
'Jason Argonaut','JasonArgonaut7','2020-05-06','Trump never said injection of disinfectant into the body.  He didn't suggest that.  Trump was talking about the LUNGS. He thought we should inject disinfectant into the LUNGS not the body.  Sheesh...  I mean the other is just ridiculous!  138'
'Aure Free Press','_Free_Press','2020-05-05','#BREAKING "It Will Disappear" "Inject Disinfectant"  "I Take Responsibility for Nothing!" - Trump at #Covid19 Briefings  1201337 US CASES 70847 US DEATHS  No National Leadership No National Planning No Coordination =1 National Nightmare!From CAP Action1814'
'Aure Free Press','_Free_Press','2020-05-05','#BREAKING MOURNING In America!  1193027 US Cases 70110 US Deaths   "It Will Disappear" "Inject Disinfectant"  "I Take Responsibility for Nothing!" - Trump at #Covid19 Briefings  No National Leadership No National Planning No Coordination  PLEASE WATCH!  https://youtu.be/t_yG_-K2MDo1'
'Beth Martens King Heros Journey Podcast','bethmartens','2020-05-05','“The people who want to add a censorship regime to a health crisis are more dangerous and more stupid by leaps and bounds than a president who tells people to inject disinfectant” Taibbi writes. “It’s astonishing that they don’t see this.” @mtaibbi4'
'DONALD J TRUMPier','Trumptweets2020','2020-05-05','If there’s 1 thing we’ve learned from #CoronavirusPandemic it’s that I was RIGHT! I was RIGHT to ignore it for months RIGHT it would magically disappear in AprilRIGHT we should inject disinfectant! So BELIEVE meprotesting close together while wearing a MAGA hat is SAFE! #Trump833'
'DuggleBogey™','DuggleBogey','2020-05-05','May 5 2020Remember that time the president asked a doctor on live television if people could inject disinfectant and after that people kept letting him be president? WTF was that?6'
'Aure Free Press','_Free_Press','2020-05-05','#BREAKING "It Will Disappear" "Inject Disinfectant"  "I Take Responsibility for Nothing!" - Trump at #Covid19 Briefings  1180634 US CASES 68934 US DEATHS  No National Leadership No National Planning NO Coordination Trump IGNORED Virus Briefings In Jan.From CAP Action122'
'Aure Free Press','_Free_Press','2020-05-05','#BREAKING "It Will Disappear" "Inject Disinfectant"  "I Take Responsibility for Nothing!" - Trump at #Covid19 Briefings  1180634 US CASES 68934 US DEATHS  No National Leadership No National Planning NO Coordination Trump IGNORED Virus Briefings In Jan.0:29From CAP Action122'
'Jason Westin MD','DrJasonWestin','2020-05-05','Trump: I deserve praise inject disinfectant (SARCASM!) Team Trump: (3000 American deaths PER DAY by June) Trump looks at poll numbers: Open businesses Governors should have done more Obama’s birth certificate!  We have a clown for @POTUS https://theatlantic.com/ideas/archive/2020/05/time-americans-are-doing-nothing/611056/…623'
'CARESHA DEM BANGS GIVEN THE GWORLS LIKE BANGLADESH','TerryTyco_','2020-05-05','When trump literally said we should inject disinfectant into ourselves. Poison.... but go awfQuote Tweetrouts11@Routs11·May 5 2020Replying to @BernieSandersThis is the most ridiculous thing said by a public official yet.2'
'ken★⁵','theskzsiren','2020-05-05','the fact that trump was like “oH iNjEcT DiSiNfEcTaNt iNtO UrSeLf” as a “joke” and people actually fucking did it1'
'Ultan','uguilfoyle','2020-05-04','Why are people praising @LeoVaradkar by comparing him to Trump and Borris? If that's the case the bar is set very low one is telling us to inject disinfectant and the other caught the virus. Why not compare us to New Zealand? That doesn't suit the FG spin machine.2'
'bhakton ka Abba Jaan','RaviKundurthi','2020-05-04','Trump halts briefings after his 'inject disinfectant' think out loud moment.   Must've taken advice from Modi to not be taking questions from 'free press'.  #WorldPressFreedomDay #WorldLaughterDay1'
'Aure Free Press','_Free_Press','2020-05-05','#BREAKING "It Will Disappear" "Inject Disinfectant"  "I Take Responsibility for Nothing!" - Trump at #Covid19 Briefings  1180634 US CASES 68934 US DEATHS  No National Leadership No National Planning NO Coordination Trump IGNORED Virus Briefings In Jan.0:01 / 0:30From CAP Action122'
'am','misssamanthasao','2020-05-03','My friend said her hospital has had people call in to ask for the correct way to inject disinfectant  & the president would never lie to them  stupid cant fix stupid10'
'j ','James_Acetate','2020-05-03','Amazing the Trump cult. People actually being apologists for him suggesting to inject disinfectant into the lungs. They'll defend anything. They link some dodgy psuedoscience to support it. Do they know how disinfectants work? The same mechanism destroys your own cells.2'
'Gilles Robillard','girobillard','2020-05-03','Hey #Trumpsters / #TrumpVoters "Are u "tired Of Winning Yet" 6) Trump told me / you that "Corona Virus" a #HOAX 7) Trump told me / you that Democrats Create the Virus 8) Now Trump wants you to "inject Disinfectant" in you Veins u like that 8) What did #Trump did 4 u latelyQuote TweetRyan Struyk@ryanstruyk·May 3 2020Reported US coronavirus deaths:  9 weeks ago: 1 death 8 weeks ago: 19 deaths 7 weeks ago: 58 deaths 6 weeks ago: 323 deaths 5 weeks ago: 2043 deaths 4 weeks ago: 8488 deaths 3 weeks ago: 20604 deaths 2 weeks ago: 38903 deaths 1 week ago: 53789 deaths Right now: 66369 deaths31'
'Tiah','tiahantcliffe','2020-05-03','Donald trump thinking that you can inject disinfectant and put ultraviolet light in your body to kill coronavirus is just the icing on the cake ainit4'
'Socialist Voice','SocialistVoice','2020-05-03','The President of the United States telling people to inject disinfectant as a cure for coronavirus is perfectly acceptable however...Quote TweetDavid Icke@davidicke·May 3 2020Morgan McSweeney from group claiming credit for David Icke deletion from Facebook and YouTube was Labour Party leader Keir Starmer CAMPAIGN MANAGER! Get off your knees Labour Party members - your party has been hijacked. PLEASE SHARE123'
'Mom is VACCINATED','Mom_vs_Moron','2020-05-03','Cannot WAIT until @JoeBiden is the President of the United States of America because he will not try to kill us by telling us to “inject disinfectant”. WTF?  #GoJoe11'
'Matt Couch','RealMattCouch','2020-05-03','The Liberal Media Is Lying About Trump Suggesting To ‘Inject Disinfectant’. Here’s The Truth…thedcpatriot.comThe Liberal Media Is Lying About Trump Suggesting To ‘Inject Disinfectant’. Here’s The Truth…Another day another ‘outrage-fest’ from the perpetually outraged mainstream media. Left-wing Democrat Party activists posing as journalists launched into one tirade after another on Friday claiming...41120'
'Isaac Young','Isaacyoung_24','2020-05-03','Everyone in 2018: Let’s eat tide pods   *Trump makes somewhat of a joke saying inject disinfectant*  People who wanted to eat tide pods: omg he wants to kills us5'
'Ann Narkeh Media','AnnNarkeh','2020-05-03','How is it ok to deplatform David Icke for sharing his conspiracy theories online but Donald Trump is allowed to tell people to inject disinfectant via global news platforms with almost no blowback?   At least Icke tells people not to believe him and to do their own research. 136'
'Quintus Sertorius','Fifth_Sertorius','2020-05-03','"The people who want to add a censorship regime to a health crisis are more dangerous and more stupid by leaps and bounds than a president who tells people to inject disinfectant. It’s astonishing that they don’t see this." https://taibbi.substack.com/p/temporary-coronavirus-censorship…11'
'PeteRichard','fab_pete','2020-05-03','Most important 2solve this #coronacrisis US voters must get rid of the #idiotinthewhitehouse #Trump who's lies kill poeple & rob their jobs &who poposes 2drink or inject #disinfectant &instigate poeple 2break #StayAtHome rules &praise armoured rebels who storm country parliamentsQuote TweetJoe Biden@JoeBiden·May 3 2020This pandemic is bigger than any one individual or country. This moment requires all of us to come together — across the nation and around the world — to solve this crisis.21'
'Cool Mom ','lovelara','2020-05-03','“The people who want to add a censorship regime to a health crisis are more dangerous and more stupid by leaps and bounds than a president who tells people to inject disinfectant”.... https://caitlinjohnstone.com/2020/05/03/why-you-should-oppose-the-censorship-of-david-icke-hint-its-got-nothing-to-do-with-icke/…12'
'Terence Wilson','Terence_Wilson1','2020-05-03','If you mad at me because of trump saying inject disinfectant.. be mad at trump to make you defend it!126'
'20210120 BLM','SickSadTrump','2020-05-03','May 3 2020Nicolle Wallace: Trump is an incompetent evil moron. Donald Trump: Inject disinfectant to cure Covid-19?! Americans: What do I have to lose? My job and/or my life thanks to #DumpsterFireDonny15'
'Robert Vogel  FBR BLM','robert_vogel','2020-05-03','May 3 2020I think Trump wins. He suggested we could nuke a hurricane. Close runner-up: inject disinfectant to cure the coronavirus. http://gopiswrong.net/trump.htmQuote TweetAmber@AmberD1116·May 2 20201'
'Filsan','_hxes06','2020-05-02','Why am I not surprised. Their own president asked if it would be possible to INJECT disinfectant into the body as a way to combat coronaQuote TweetNews24@News24·May 2 2020US regulators want hand sanitiser to taste worse so people won’t drink it | @BISouthAfrica http://ow.ly/9BJB50zuNLW1112'
'Baba Yaga','WhirlwindWisdom','2020-05-02','The people who want to add a censorship regime to a health crisis are more dangerous and more stupid by leaps and bounds than a president who tells people to inject disinfectant. It’s astonishing that they don’t see this. https://taibbi.substack.com/p/temporary-coronavirus-censorship… @AOC @IlhanMN @RashidaTlaib12'
'Mureed Hammad','mureedhammad','2020-05-02','When Trump says inject disinfectant to kill coronavirus it is because he knows about things better than anybody else. Really.From NowThis325'
'Bill FBPE RejoinEU GTTO','ChalfontStGiles','2020-05-02','What idiot would associate themselves with Donald "inject disinfectant" Trump?Quote TweetFufluns  #ToriesOut #FBPE #FBPPR@FuflunsPW·May 2 2020Johnson Gove and VoteLeave shouldn’t have rubbished Obama: the people who matter in the US always wanted us to remain in the EU and now they insist on close regulatory alignment. Their position was always based on sound pragmatic and economic reasons as ours should have been. twitter.com/RichardGCorbet…1910'
'Mureed Hammad','mureedhammad','2020-05-02','When Trump says inject disinfectant to kill coronavirus it is because he knows about things better than anybody else. Really.3:00From NowThis325'
'Marga マーガレス カストディオ','margatooot','2020-05-02','mauuna to sa trial ng inject disinfectant ni trump hahahahahahaQuote TweetSasha Kolboy@notbismarkymark·May 2 2020Somebody give him some bleach to drinkShow this thread1'
'','goldwingedmac','2020-05-02','treatments for covid: *working* trump: no INJECT DISINFECTANT.1'
'Thadius Albert Denton','AlThad','2020-05-02','I wonder if Trump did inject disinfectant to a priest if he would be charged with 'Bleach of the Priest' or would it be 'Domestos Violence'!1'
'Allied Progress','AlliedProgress','2020-05-02','On the one hand we have Donald "Inject Disinfectant" Trump.  On the other hand we have health experts.   We're gonna go with the scientists and epidemiologists on this one. https://nbcnews.com/politics/white-house/tale-two-summers-white-house-diverges-health-experts-over-what-n1195606…4612'
'Mureed Hammad','mureedhammad','2020-05-02','When Trump says inject disinfectant to kill coronavirus it is because he knows about things better than anybody else. Really.0:01 / 3:00From NowThis325'
'n i k k a','imdocnique','2020-05-02','go eat soap and inject disinfectant with Trump!! Quote TweetSasha Kolboy@notbismarkymark·May 2 2020Somebody give him some bleach to drinkShow this thread1'
'Danny','DannyIrish1','2020-05-02','Dear Irish people Jacinda Arden should be the benchmark that we compare the Taoiseach to. Not Boris (shake hands in hospital and get the virus) Johnson or Donald (inject disinfectant) Trump. #StayHome #staysafe14'
'Talk GEORDIEMETA EnvironmentMETA Pleasure','DavidKe52871220','2020-05-02','Please explain where President Trump said inject disinfectant.UV light is used to clean viruses and he just asked a question could some form of disinfectant be used directly to kill.He asked a questiongrow up you are embarrassing to adultswomen humanity reallyQuote TweetShelagh Fogarty@ShelaghFogarty·May 1 2020Replying to @SamCoatesSkyNeither am I so that’s a relief.'
'TRi Runt','Trirunt','2020-05-01','Dr Birx lost all creditability when she attempted to defend Trump's suggestion to inject disinfectant to kill Coronavirus.Quote TweetIndependent Women's Forum@IWF·May 2 2020According to the ladies of @TheView Dr. Birx is “losing her integrity.” She is “complicit” in evil and does not “speak truth to power.” She is “part of the problem.”  SMH.  #IWpol #COVID19 #WomenInMedicine https://bit.ly/3bT9cQs13'
'techweenie ','techweenie','2020-05-01','President Super Jenius sez:  'Wash your hands in boiling water.'   I'm not clear: is that before I inject disinfectant?   ...and then when do I swallow the light?  #unfit #Incompetent #25thAmendmentNow114'
'Aure Free Press','_Free_Press','2020-05-01','#BREAKING "I Take Responsibility for Nothing!" "Inject Disinfectant" "A Hoax" - Trump at #Covid19 Briefings  1091038 US CASES 64203 US DEATHS Will YOU Be Next?   No National Plan No Leadership Just Lies Distortions Personal Attacks By TrumpFrom CAP Action11'
'•᷄ʚ•᷅  ANGEL','plsmimi','2020-05-01','May 1 2020I generally feel sorry for American Citizens that your own president suggested y’all to inject disinfectant into you. Next thing you know he’ll ask you to inject petrol into you for energy From sof 4883'
'RosieP','pratt_rosie','2020-05-01','How is Donald Trump telling people to inject disinfectant to fight corona...13'
'jojo','jospencer77','2020-05-01','Has it only been a week since Trump told us to inject disinfectant?15'
'Panda Doctor of Chaos','nuggypanda','2020-05-01','2020 Bingo Score Card:  Global pandemic. World War III. Monkey gang wars in Thailand. Rat gang wars in NYC. Trump is running unopposed. We must inject disinfectant. Cannibal Alex Jones eating that ass!  What is this timeline?15'
'•᷄ʚ•᷅  ANGEL','plsmimi','2020-05-01','May 1 2020I generally feel sorry for American Citizens that your own president suggested y’all to inject disinfectant into you. Next thing you know he’ll ask you to inject petrol into you for energy 0:06From sof 4883'
'Maxwell','_MOS3_','2020-05-01','TrUmP lItErAlLy ToLd EvErYoNe To InJeCt DiSiNfEcTaNt InTo ThEiR vEiNs3'
'Community Notes Joe ','Joe_Eschbach','2020-05-01','Trump: People should inject disinfectant to cure CV-19  Elon Today on Twitter: Hold my beer.1'
'hxdi ','LutfilLeHadi','2020-05-01','Apa yang DG Hisham rasa sekarang ni mungkin teruk tapi tak seteruk apa yang Dr Fauci rasa dekat Amerika sana. Apa bangang Trump suruh inject disinfectant dalam badan.1'
'Joe Remi','JoeOfTheNorth','2020-05-01','Shit I just remembered. The President of the United States suggested people inject disinfectant.61857'
'Thucky ','Thuckster__','2020-05-01','"Change will not come if we wait for some other person or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek" - Barack Obama.  "INJECT DISINFECTANT STRAIGHT INTO YOUR LUNGS" - Donald Trump.2'
'•᷄ʚ•᷅  ANGEL','plsmimi','2020-05-01','May 1 2020I generally feel sorry for American Citizens that your own president suggested y’all to inject disinfectant into you. Next thing you know he’ll ask you to inject petrol into you for energy 0:01 / 0:07From sof 4883'
